"item","item_label","p_treated_g1","p_control_g1","response_rate_g1","corrected_item_total_g1","irt_difficulty_g1","irt_discrimination_g1","p_treated_g2","p_control_g2","response_rate_g2","corrected_item_total_g2","irt_difficulty_g2","irt_discrimination_g2","subject","grade_pair","anchor_flag","treated_p_swing"
"a629y3_nv3","Writing an argumentative text about usage of internet : Presenting at least 2 ar",0.442105263157895,0.31,0.558974358974359,0.609909334320774,0.390696031934319,3.15151405112697,0.28421052631579,0.21,0.405128205128205,0.549151550399471,0.79900916420408,3.05532105711996,"Arabic","g5-g6","low_coverage_anchor",-0.157894736842105
"a630y3_nv3","Write a text about internet use: no more than 8 errors",0.368421052631579,0.22,0.569230769230769,0.614328023843582,0.603614589777508,3.83250794279581,0.252631578947368,0.18,0.435897435897436,0.572006442204972,0.841111587530829,4.41040498127911,"Arabic","g5-g6","low_coverage_anchor",-0.11578947368421
"a631y3_nv3","Write a text about internet use: clear handwriting",0.452631578947368,0.31,0.564102564102564,0.569690132026366,0.396613818684449,2.48011730645772,0.357894736842105,0.26,0.451282051282051,0.605572690515332,0.578307292434557,4.04609152438441,"Arabic","g5-g6","low_coverage_anchor",-0.0947368421052632
"f21","TU AS QUEL AGE ? QUEL AGE AS-TU ?",0.47,0.0631578947368421,0.374358974358974,0.51044224919693,1.38710206076416,1,0.16,0.0303030303030303,0.195979899497487,0.330914802708365,2.18161925543308,1.28926883152574,"French","g1-g2","low_coverage_anchor",-0.31
"f211","JE VAIS DIRE UN MOT ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: La fenêtre",0.84,0.621052631578947,0.98974358974359,0.510196448637351,-1.47056556893282,1,0.8,0.575757575757576,0.974874371859296,0.404778752870964,-0.993513126044417,0.934055421655066,"French","g1-g2","extreme_anchor",-0.0399999999999999
"f23","C'EST QUEL JOUR AUJOURD'HUI ?",0.07,0.0842105263157895,0.194871794871795,0.285143261764088,3.41870962639563,1,0.11,0.232323232323232,0.316582914572864,0.251805872864159,2.32379129545467,0.753446103678888,"French","g1-g2","low_coverage_anchor",0.04
"f232_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:limonade",0.34,0.178947368421053,0.553846153846154,0.667230903172411,1.46171557428761,1,0.37,0.373737373737374,0.829145728643216,0.623597899794085,0.423598696523938,2.37316680329919,"French","g1-g2","low_coverage_anchor",0.03
"f233_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:dune",0.33,0.210526315789474,0.594871794871795,0.656977316016596,1.38710206076416,1,0.4,0.383838383838384,0.824120603015075,0.586118527145114,0.370591495043196,2.15093388013783,"French","g1-g2","low_coverage_anchor",0.07
"f235_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:pire",0.42,0.157894736842105,0.58974358974359,0.649423257015939,1.24240750269598,1,0.35,0.404040404040404,0.834170854271357,0.594037433249263,0.414879769262687,2.23829681760791,"French","g1-g2","low_coverage_anchor",-0.07
"f245","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: vache",0.52,0.336842105263158,0.948717948717949,0.378893028165358,0.367002932841757,1,0.73,0.555555555555556,0.944723618090452,0.473306073684602,-0.621408380636078,1.18450510009713,"French","g1-g2","usable_anchor",0.21
"f246","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE:tapis",0.55,0.421052631578947,0.964102564102564,0.507654788537346,0.0362660000221583,1,0.66,0.525252525252525,0.949748743718593,0.580878657996184,-0.282276243632024,2.02494220848236,"French","g1-g2","usable_anchor",0.11
"f247","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: poule",0.49,0.28421052631579,0.938461538461538,0.469325097977727,0.613595095145733,1,0.66,0.474747474747475,0.934673366834171,0.556871593984202,-0.224970421411001,1.63459291076128,"French","g1-g2","usable_anchor",0.17
"f21","TU AS QUEL AGE ? QUEL AGE AS-TU ?",0.16,0.0303030303030303,0.195979899497487,0.330914802708365,2.18161925543308,1.28926883152574,0.48,0.1,0.445,0.346196782904002,1.31879905296408,1,"French","g2-g3","low_coverage_anchor",0.32
"f211","JE VAIS DIRE UN MOT ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: La fenêtre",0.8,0.575757575757576,0.974874371859296,0.404778752870964,-0.993513126044417,0.934055421655066,0.8,0.64,0.945,0.387308744795941,-1.39609960499383,1,"French","g2-g3","usable_anchor",0
"f22_nv","QU'EST-CE QUE TU FAIS EN CLASSE?",0.24,0.0505050505050505,0.35678391959799,0.295199106926973,2.45587172336326,0.805216350610183,0.15,0.1,0.445,0.473650361965405,2.75070642921326,1,"French","g2-g3","low_coverage_anchor",-0.09
"f23","C'EST QUEL JOUR AUJOURD'HUI ?",0.11,0.232323232323232,0.316582914572864,0.251805872864159,2.32379129545467,0.753446103678888,0.11,0.27,0.31,0.333985466556172,2.09219174855125,1,"French","g2-g3","low_coverage_anchor",0
"f232_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:limonade",0.37,0.373737373737374,0.829145728643216,0.623597899794085,0.423598696523938,2.37316680329919,0.59,0.52,0.905,0.647708977042872,-0.327436050685376,1,"French","g2-g3","usable_anchor",0.22
"f233_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:dune",0.4,0.383838383838384,0.824120603015075,0.586118527145114,0.370591495043196,2.15093388013783,0.48,0.36,0.895,0.621319742666983,0.484495386103977,1,"French","g2-g3","usable_anchor",0.08
"f235_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:pire",0.35,0.404040404040404,0.834170854271357,0.594037433249263,0.414879769262687,2.23829681760791,0.44,0.42,0.895,0.551327210892547,0.423798724685592,1,"French","g2-g3","usable_anchor",0.09
"f245","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: vache",0.73,0.555555555555556,0.944723618090452,0.473306073684602,-0.621408380636078,1.18450510009713,0.78,0.61,0.975,0.512251637128832,-1.22080977132182,1,"French","g2-g3","usable_anchor",0.05
"f246","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE:tapis",0.66,0.525252525252525,0.949748743718593,0.580878657996184,-0.282276243632024,2.02494220848236,0.81,0.7,0.975,0.505568413457543,-1.65511726715181,1,"French","g2-g3","extreme_anchor",0.15
"f247","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: poule",0.66,0.474747474747475,0.934673366834171,0.556871593984202,-0.224970421411001,1.63459291076128,0.78,0.54,0.97,0.532499512286311,-0.985833953057977,1,"French","g2-g3","usable_anchor",0.12
"f253","JE VAIS DIRE UN MOT ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Une chaise",0.72,0.404040404040404,0.959798994974874,0.418781932931009,-0.31459154580075,0.918106908994096,0.8,0.41,0.955,0.484596272097922,-0.634485238530765,1,"French","g2-g3","usable_anchor",0.0800000000000001
"f255","JE VAIS DIRE UN MOT ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Une fleur",0.85,0.545454545454545,0.974874371859296,0.406561716230566,-0.968575995633004,1.04758264358997,0.79,0.7,0.935,0.298849117015808,-1.57924926784967,1,"French","g2-g3","extreme_anchor",-0.0599999999999999
"f256","JE VAIS DIRE UNE PHRASE ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Amine dort",0.58,0.434343434343434,0.939698492462312,0.249018241295007,-0.064822541104788,0.465926563181241,0.61,0.44,0.975,0.246507932940898,-0.146473527002656,1,"French","g2-g3","usable_anchor",0.03
"f257","JE VAIS DIRE UNE PHRASE ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Amine dess",0.81,0.353535353535354,0.954773869346734,0.313438255851883,-0.616804073214625,0.580610378569928,0.73,0.46,0.975,0.37547115676391,-0.572337845912579,1,"French","g2-g3","extreme_anchor",-0.0800000000000001
"f258","JE VAIS DIRE UNE PHRASE ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Amine boit",0.66,0.424242424242424,0.969849246231156,0.276343549509105,-0.350407461462841,0.513576149044968,0.66,0.65,0.98,0.317696283699649,-0.953092982953602,1,"French","g2-g3","usable_anchor",0
"f259","C'EST AMINE SUR L'IMAGE. JE VAIS TE POSER DES QUESTIONS. REPONDS-MOI AVEC UNE PH",0.42,0.202020202020202,0.402010050251256,0.484545992208227,0.823525470175012,1.26790623305693,0.51,0.31,0.555,0.487816759351786,0.545477574211193,1,"French","g2-g3","low_coverage_anchor",0.09
"f260","C'EST AMINE SUR L'IMAGE. JE VAIS TE POSER DES QUESTIONS. REPONDS-MOI AVEC UNE PH",0.23,0.151515151515152,0.301507537688442,0.287077866153912,2.10077605251044,0.766140139164267,0.34,0.23,0.45,0.4964969288788,1.35361651892165,1,"French","g2-g3","low_coverage_anchor",0.11
"f261","C'EST Lina SUR L'IMAGE. JE VAIS TE POSER DES QUESTIONS. REPONDS-MOI AVEC UNE PHR",0.53,0.0707070707070707,0.376884422110553,0.526870496097128,0.815856337229338,1.42300817920934,0.4,0.11,0.465,0.482587115342551,1.56932552106852,1,"French","g2-g3","low_coverage_anchor",-0.13
"f262","C'EST Lina SUR L'IMAGE. JE VAIS TE POSER DES QUESTIONS. REPONDS-MOI AVEC UNE PHR",0.13,0.0303030303030303,0.266331658291457,0.413743737148015,1.81440087389756,2.05294384980373,0.1,0.13,0.34,0.356991793870196,2.87293354855622,1,"French","g2-g3","low_coverage_anchor",-0.03
"f263","C'EST Lina SUR L'IMAGE. JE VAIS TE POSER DES QUESTIONS. REPONDS-MOI AVEC UNE PHR",0.13,0.0404040404040404,0.386934673366834,0.321747702654463,2.23637645534289,1.33723262287223,0.23,0.1,0.52,0.427733217946948,2.32347874376551,1,"French","g2-g3","low_coverage_anchor",0.1
"f264","LIS LES MOTS SUIVANTS A VOIX HAUTE :karima",0.61,0.545454545454545,0.824120603015075,0.565477980201382,-0.221878763989955,2.20257302301556,0.83,0.63,0.91,0.593046541555915,-1.46832089789929,1,"French","g2-g3","extreme_anchor",0.22
"f265","LIS LES MOTS SUIVANTS A VOIX HAUTE :régal",0.35,0.191919191919192,0.658291457286432,0.56389142017063,0.808833782122421,2.024352163704,0.32,0.32,0.745,0.520226556253314,1.11548723813007,1,"French","g2-g3","low_coverage_anchor",-0.03
"f266","LIS LES MOTS SUIVANTS A VOIX HAUTE :puma",0.47,0.393939393939394,0.78391959798995,0.649173163127844,0.225206930307912,2.75831572967994,0.47,0.42,0.845,0.612426499789972,0.33319371378922,1,"French","g2-g3","usable_anchor",0
"f267","LIS LES MOTS SUIVANTS A VOIX HAUTE :douche",0.28,0.232323232323232,0.743718592964824,0.602898391521876,0.798323602712835,2.61157636589704,0.38,0.4,0.85,0.557512279240132,0.668482645971956,1,"French","g2-g3","low_coverage_anchor",0.1
"f268","LIS LES MOTS SUIVANTS A VOIX HAUTE :lavabo",0.47,0.434343434343434,0.773869346733668,0.580052132008019,0.177137486637634,2.10755709082991,0.79,0.59,0.88,0.684510050537547,-1.1865584660572,1,"French","g2-g3","usable_anchor",0.32
"f269","LIS LES PHRASES SUIVANTES : Ce",0.58,0.454545454545455,0.819095477386935,0.525641036313256,-0.0392823730377741,1.76153174769862,0.6,0.55,0.875,0.57037064271559,-0.449235254516908,1,"French","g2-g3","usable_anchor",0.02
"f270","LIS LES PHRASES SUIVANTES : matin",0.43,0.191919191919192,0.78894472361809,0.619517224728965,0.619228438479368,2.42637378402337,0.53,0.38,0.875,0.658431032229061,0.273022483257098,1,"French","g2-g3","usable_anchor",0.1
"f271","LIS LES PHRASES SUIVANTES: j'ai",0.43,0.202020202020202,0.763819095477387,0.638647317754616,0.591522222154665,2.58106677104467,0.62,0.52,0.85,0.514327350661879,-0.418676278637014,1,"French","g2-g3","usable_anchor",0.19
"f272","LIS LES PHRASES SUIVANTES:vu",0.43,0.343434343434343,0.753768844221106,0.606763252409092,0.386736709217024,2.15696323016642,0.55,0.51,0.835,0.598294264188357,-0.176525763183917,1,"French","g2-g3","usable_anchor",0.12
"f273","LIS LES PHRASES SUIVANTES :une",0.66,0.636363636363636,0.78894472361809,0.600933906269022,-0.402260501375723,3.05694305219058,0.75,0.68,0.85,0.563184733662564,-1.36046540503858,1,"French","g2-g3","usable_anchor",0.09
"f274","LIS LES PHRASES SUIVANTES : grande",0.3,0.141414141414141,0.683417085427136,0.65531808411388,0.882137375462244,3.281702783396,0.39,0.37,0.785,0.680796814909657,0.730602875221444,1,"French","g2-g3","low_coverage_anchor",0.09
"f275","LIS LES PHRASES SUIVANTES : girafe",0.17,0.262626262626263,0.693467336683417,0.47216773341362,1.09111419324353,1.78833803429359,0.36,0.34,0.78,0.494027829359351,0.920073401147023,1,"French","g2-g3","low_coverage_anchor",0.19
"f276","Fluidité: Ce matin j'ai vu une grande girafe",0.23,0.111111111111111,1,0.642849558013217,1.02476480834846,4.69120344851536,0.32,0.23,1,0.627792717823242,1.42416452333835,1,"French","g2-g3","usable_anchor",0.09
"f277","LIS LES PHRASES SUIVANTES : Je",0.75,0.484848484848485,0.758793969849246,0.580956122878164,-0.344010724764313,2.34351507863852,0.81,0.63,0.885,0.620935204912994,-1.39609960499383,1,"French","g2-g3","extreme_anchor",0.06
"f278","LIS LES PHRASES SUIVANTES : mange",0.37,0.191919191919192,0.768844221105528,0.638721299039152,0.715152566119188,2.53183431234977,0.43,0.37,0.875,0.627855083514574,0.606790817935283,1,"French","g2-g3","usable_anchor",0.06
"f279","LIS LES PHRASES SUIVANTES : des",0.53,0.303030303030303,0.753768844221106,0.701167708210326,0.259604476791857,3.26485968017059,0.59,0.56,0.875,0.687922850325932,-0.449235254516908,1,"French","g2-g3","usable_anchor",0.0599999999999999
"f280","LIS LES PHRASES SUIVANTES :fruits",0.12,0.131313131313131,0.698492462311558,0.507492015407768,1.35555974052315,2.66942722774629,0.2,0.34,0.835,0.612791866719442,1.45992344711249,1,"French","g2-g3","low_coverage_anchor",0.08
"f281","LIS LES PHRASES SUIVANTES : à",0.78,0.525252525252525,0.763819095477387,0.515140877381238,-0.503468154575982,1.9281158684469,0.85,0.69,0.89,0.589608682959236,-1.77215606251104,1,"French","g2-g3","extreme_anchor",0.07
"f282","LIS LES PHRASES SUIVANTES : la",0.78,0.545454545454545,0.768844221105528,0.599312463339375,-0.44785347802218,3.09150593242479,0.86,0.7,0.89,0.657513056105667,-1.85258448110201,1,"French","g2-g3","extreme_anchor",0.08
"f283","LIS LES PHRASES SUIVANTES : fin",0.21,0.171717171717172,0.748743718592965,0.544453141620194,1.0945552258384,2.30926574585182,0.27,0.32,0.87,0.550761818541238,1.28426810212917,1,"French","g2-g3","low_coverage_anchor",0.06
"f284","LIS LES PHRASES SUIVANTES : du",0.49,0.454545454545455,0.748743718592965,0.639778847583536,0.107654810541246,2.74768831356583,0.54,0.52,0.87,0.639569124622922,-0.176525763183917,1,"French","g2-g3","low_coverage_anchor",0.05
"f285","LIS LES PHRASES SUIVANTES : déjeuner",0.25,0.0707070707070707,0.698492462311558,0.560676319618654,1.15822635046416,2.85899833117526,0.53,0.19,0.82,0.676011832108478,0.856341191186591,1,"French","g2-g3","low_coverage_anchor",0.28
"f286","Fluidité: Je mange des fruits à la fin du déjeuner",0.17,0.111111111111111,1,0.537272123339789,1.22988288861979,3.08118169072545,0.34,0.23,1,0.651315913839711,1.35361651892165,1,"French","g2-g3","extreme_anchor",0.17
"f293","LIS LA QUESTION ET MONTRE-MOI LA BONNE REPONSE. QUE FAIT ALI ? Ali saute sur le",0.34,0.353535353535354,0.92964824120603,0.0629149981616343,3.40361328651954,0.187709173809357,0.57,0.42,0.96,0.409041460033079,0.0333290359119113,1,"French","g2-g3","weak_discrimination_anchor",0.23
"f294_nv","LIS LA QUESTION ET MONTRE-MOI LA BONNE REPONSE. QUE FAIT SALMA? Elle joue.",0.24,0.232323232323232,0.934673366834171,0.26720141854717,1.88790951054146,0.682136570064767,0.29,0.2,0.955,0.308909606683045,1.64420267287243,1,"French","g2-g3","usable_anchor",0.05
"f295","ECRIS LE MOT CORRESPONDANT A L'IMAGE:cheval",0.17,0.181818181818182,0.402010050251256,0.489073262876597,1.28068868838759,1.81425259953127,0.56,0.2,0.66,0.552824685082284,0.730602875221445,1,"French","g2-g3","low_coverage_anchor",0.39
"f296","ECRIS LE MOT CORRESPONDANT A L'IMAGE:cahier/livre",0.34,0.242424242424242,0.618090452261307,0.473097238336712,0.852016022580171,1.44961636833733,0.44,0.33,0.755,0.48631999449688,0.699485999029831,1,"French","g2-g3","low_coverage_anchor",0.1
"f297_nv","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: une fleur, Omar, dessine",0.58,0.242424242424242,0.974874371859296,0.44310362334428,0.41303444785084,1.10100901704367,0.54,0.39,0.995,0.484626948134879,0.21298955415335,1,"French","g2-g3","usable_anchor",-0.0399999999999999
"f298","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: rouge, est, mon cartable",0.39,0.272727272727273,0.974874371859296,0.450909543652023,0.749805428027537,1.21493748032462,0.62,0.44,0.985,0.572771480228472,-0.176525763183916,1,"French","g2-g3","usable_anchor",0.23
"f299","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: sous, est, la table, le chien",0.27,0.0707070707070707,0.964824120603015,0.513767831744311,1.28757403170339,1.87607783333684,0.37,0.19,0.99,0.497191321127568,1.38873372425311,1,"French","g2-g3","usable_anchor",0.1
"f21","TU AS QUEL AGE ? QUEL AGE AS-TU ?",0.48,0.1,0.445,0.346196782904002,1.31879905296408,1,0.59,0.17,0.46,0.560353110320562,0.405077265821698,1.88291752675131,"French","g3-g4","low_coverage_anchor",0.11
"f23","C'EST QUEL JOUR AUJOURD'HUI ?",0.11,0.27,0.31,0.333985466556172,2.09219174855125,1,0.23,0.31,0.375,0.380547129214958,1.14320445899022,1.05669516524759,"French","g3-g4","low_coverage_anchor",0.12
"f232_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:limonade",0.59,0.52,0.905,0.647708977042872,-0.327436050685376,1,0.73,0.56,0.89,0.502537166755477,-0.498720438695771,1.96825832648436,"French","g3-g4","usable_anchor",0.14
"f233_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:dune",0.48,0.36,0.895,0.621319742666983,0.484495386103977,1,0.6,0.55,0.91,0.427586054120268,-0.312330719541128,1.30631434993173,"French","g3-g4","usable_anchor",0.12
"f235_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:pire",0.44,0.42,0.895,0.551327210892547,0.423798724685592,1,0.59,0.39,0.9,0.399258838075202,0.0387688029481086,1.15682972525354,"French","g3-g4","usable_anchor",0.15
