"item","irt_discrimination","irt_difficulty","subject","grade","irt_flag","item_label"
"a252_nv3",1,0.19795672694031,"Arabic",2,"in_range","Reading comprehension text. Put a mark (X) in front of the statement that explai"
"a253",1,-0.649773980517636,"Arabic",2,"in_range","Reading comprehension text .Put a mark (X) under the diagram (which picture illu"
"a254_nv3",1,-1.06333755914333,"Arabic",2,"in_range","Reading comprehension text .Put a mark (x) in front of the correct statement (Ho"
"a255",1,0.749671670293541,"Arabic",2,"in_range","Reading comprehension text .Put a mark (x) in front of the correct statement (Wh"
"a256",1,0.415232913752211,"Arabic",2,"in_range","Reading comprehension text .Put a mark (x) in front of the correct statement (Th"
"a257",1,0.864881643889894,"Arabic",2,"in_range","Reading comprehension text .Put a mark(x) in front of the correct statement (Why"
"a258_nv",1,1.10361270894939,"Arabic",2,"in_range","Arrange the events (images) from 1 to 4 according to their sequence in the story"
"a261_nv",1,0.749671670293542,"Arabic",2,"in_range","Composing simple sentences based on untidy words: Where do you practice your fav"
"a262_nv3",1,-0.398153430512538,"Arabic",2,"in_range","Bridging the events of the story, based on sequential images. (Salma went to the"
"a263_nv3",1,0.117020089016336,"Arabic",2,"in_range","Bridging the events of the story, based on sequential images. (when they arrived"
"a264_nv3",1,0.333414105526532,"Arabic",2,"in_range","Bridging the events of the story, based on sequential images. (and they had icec"
"a265_nv3",1,0.552934911070669,"Arabic",2,"in_range","Bridging the events of the story, based on sequential images. (by sunset, Salma"
"a321y3_nv3",1,-2.20939705502648,"Arabic",2,"very_easy","write this word (dictation word) with the diacritical marks (vowel signs) (he em"
"a322y3_nv3",1,-0.509001331578501,"Arabic",2,"in_range","write this word (dictation word) with the diacritical marks (vowel signs) (Salim"
"a323y3_nv3",1,-1.28587407294645,"Arabic",2,"in_range","write this word (dictation word) with the diacritical marks (vowel signs) (a win"
"a324y3_nv3",1,0.0631272537888931,"Arabic",2,"in_range","Composing simple sentences based on untidy words: The birds fly above the tree"
"a330y3_nv3",1,1.35743254602046,"Arabic",2,"in_range","Use of logical connectors"
"a331y3_nv3",1,-0.12564957286733,"Arabic",2,"in_range","Clarity of the handwriting"
"a332y3_nv3",1,0.952963470681412,"Arabic",2,"in_range","Use of keywords"
"a2100",1.6009145603383,0.798014678619533,"Arabic",3,"in_range","Complete the story: Imagine the rest of the story based on this beginning (Do no"
"a2101",2.42015623460821,0.147406958885183,"Arabic",3,"in_range","Complete the story: readable writing"
"a2102",2.33777841926235,0.871454908840789,"Arabic",3,"in_range","Complete the story: writing at least 4 lines"
"a214_nv",1.5352588760985,-3.09966646283413,"Arabic",3,"very_easy","Read the letters"
"a215",4.05487776338805,-2.6630001882598,"Arabic",3,"very_easy","Read the letters"
"a217",0.8842325274382,-4.57035006024324,"Arabic",3,"very_easy","Read the letters"
"a218",2.0346654498268,-2.58015424441323,"Arabic",3,"very_easy","Read the letters"
"a219_nv",1.89688709677013,-2.23517380836115,"Arabic",3,"very_easy","Read the letters"
"a236_nv",1.34516295278419,-1.45018966760775,"Arabic",3,"in_range","Producing narrative sentences and connecting them based on comments on pictures."
"a237_nv",2.86125273547292,-0.959858439627081,"Arabic",3,"in_range","Producing narrative sentences and connecting them based on comments on pictures."
"a261_nv",2.39499846338706,0.17867967773056,"Arabic",3,"in_range","Composing simple sentences based on untidy words: Where do you practice your fav"
"a269",1.67116191044475,-0.555161761095416,"Arabic",3,"in_range","Producing narrative sentences based on a sequence of photos. (hunter vs. ant and"
"a270",1.79568427692259,-0.404744562891632,"Arabic",3,"in_range","Linguistic consistency: Producing narrative sentences based on a sequence of pho"
"a271",1.76014790239836,-0.719042827938157,"Arabic",3,"in_range","Using key words: friendship, help, ants, rain (using at least 4 key words)"
"a282",0.586053954852213,-0.936373268058278,"Arabic",3,"in_range","Reading comprehension text .Put (x) in front of the correct statement (How did t"
"a287",1.44475532857032,0.266495056195302,"Arabic",3,"in_range","Reading comprehension text .Put a tick next to the correct answer that explains"
"a288_nv3",0.994504944733557,-0.087334516012458,"Arabic",3,"in_range","Reading comprehension text Mark (X) in front of the statement that explains why"
"a289",1.04913760845407,-0.978731089238188,"Arabic",3,"in_range","Reading comprehension text .Put a mark under the diagram. What is the picture th"
"a290",1.21772773152603,-0.200602427921545,"Arabic",3,"in_range","Reading comprehension text Mark (X) in front of the correct statement : The arts"
"a291",0.976775530308185,0.985067435675667,"Arabic",3,"in_range","Reading comprehension text Mark (X) in front of the general idea of the text (th"
"a294",2.69408383595833,0.38728260892575,"Arabic",3,"in_range","Composing simple sentences based on untidy words: (Wait for your turn on the lin"
"a297",2.0596146292489,-0.0768884664238634,"Arabic",3,"in_range","Complete the story: Imagine the rest of the story based on this beginning (Talk"
"a298",2.77872181998663,0.189260427279971,"Arabic",3,"in_range","Complete the story: Imagine the rest of the story based on this beginning (Talk"
"a299",2.85252851990265,0.218121582730139,"Arabic",3,"in_range","Complete the story: Imagine the rest of the story based on this beginning (Talk"
"a324y3_nv3",2.65367828445472,0.160519087084815,"Arabic",3,"in_range","Composing simple sentences based on untidy words: The birds fly above the tree"
"a412y3_nv3",0.433736902564314,2.70260403178953,"Arabic",3,"very_hard","Reading comprehension text .Put (x) in front of the correct statement (What's th"
"a413y3_nv3",1.22976876912282,0.182221876469836,"Arabic",3,"in_range","Reading comprehension text .Put (x) in front of the correct statement (Why did S"
"a414y3_nv3",1.58159885697395,0.424897621818009,"Arabic",3,"in_range","Reading comprehension text .Put the events in the right order. (3-4-2-1)"
"a415y3_nv3",1.77768997274791,0.386544632985901,"Arabic",3,"in_range","Reading comprehension text . (Why does the sea feel sad and angry ?)"
"a421y3_nv3",1.57263274486199,0.561123573079129,"Arabic",3,"in_range","Composing simple sentences based on untidy words: Nature became beautiful after"
"a422y3_nv3",1.54787168351757,1.2591029027286,"Arabic",3,"in_range","Composing simple sentences based on untidy words: (The kids always practice spor"
"a2103",2.73618404809446,-0.372036314779371,"Arabic",4,"in_range","Speaking for 2 min about Eid Al Adha and its traditions"
"a2104",2.61380347781102,-0.0647299820249584,"Arabic",4,"in_range","Linguistic accuracy : Using clear and accurate arabic language: Eid Al Adha"
"a2105",1.74394095487106,0.15149268220087,"Arabic",4,"in_range","Cohesion: Consistent and accurate ideas: Eid Al Adha"
"a2106",1.65211958971752,0.506911763949208,"Arabic",4,"in_range","Fluency: Speaking fluently: Eid Al Adha"
"a2108",3.56736198953957,-0.631106946401924,"Arabic",4,"in_range","Discussing a subject, persuading, and expressing a perspective. (Talk between a"
"a2109",2.44370366377883,-0.223570551731568,"Arabic",4,"in_range","Linguistic accuracy : Using clear and accurate arabic language: hunter vs. ant a"
"a2110",2.32752817189348,-0.163058838470141,"Arabic",4,"in_range","Cohesion: Consistent and accurate ideas: hunter vs. ant and pigeon"
"a2111",2.05446242182031,0.0772121659638925,"Arabic",4,"in_range","Fluency: Speaking fluently: hunter vs. ant and pigeon"
"a2119",1.03936758605718,0.60684859528114,"Arabic",4,"in_range","Reading comprehension: Explain the reasons behind the behaviour described (clap)"
"a2122",1.04381159545189,-0.0171979364574359,"Arabic",4,"in_range","Put a mark (x) in front the correct answer: who built Badi palace?"
"a2123",1.7152412554584,0.652042385412882,"Arabic",4,"in_range","From where did the Koutoubia Mosque get its name"
"a2125",1.20228192890426,0.785823124087978,"Arabic",4,"in_range","Put a mark (x) in front the correct answer: why was Marrakesh described as a res"
"a2126",1.32485734834193,1.28903732882555,"Arabic",4,"in_range","Explain how water in supplied to the gardens of Al-Manazih"
"a2127_nv3",1.58306273189631,0.575996004060383,"Arabic",4,"in_range","Complete the identification card of the city of Marrakesh: location"
"a2128",1.0951472086361,0.538651852947116,"Arabic",4,"in_range","Put a mark (x) in front the correct answer: what value do you infer from the tex"
"a2130_nv",1.93421229114673,0.812992737290322,"Arabic",4,"in_range","Writing an argumentative text about usage of internet : Write 2 Benefits of inte"
"a2131",2.36532549974927,1.2188723811104,"Arabic",4,"in_range","Writing an argumentative text about usage of internet : Presenting at least 3 ar"
"a2132_nv",2.13087388449827,1.05103812260035,"Arabic",4,"in_range","Write a text about internet use: no more than 9 errors"
"a2133",1.50573732273252,0.865788087605459,"Arabic",4,"in_range","Write a text about internet use: clear handwriting with no more than 4 scribblin"
"a2134",1.59377643525924,1.16602198969307,"Arabic",4,"in_range","Write a text about internet use: write at least 3 lines (30 words)"
"a2263_nv3",1.66600849490081,0.720844720986365,"Arabic",4,"in_range","Complete the identification card of the city of Marrakesh: founder"
"a2273_nv3",1.36762871390438,0.369843956157132,"Arabic",4,"in_range","Complete the identification card of the city of Marrakesh: year of foundation"
"a269",2.18777007381726,-0.964389643380776,"Arabic",4,"in_range","Producing narrative sentences based on a sequence of photos. (hunter vs. ant and"
"a294",1.73589619497336,0.421910050311672,"Arabic",4,"in_range","Composing simple sentences based on untidy words: (Wait for your turn on the lin"
"a412y3_nv3",1.33112805449224,0.629781991178479,"Arabic",4,"in_range","Reading comprehension text .Put (x) in front of the correct statement (What's th"
"a413y3_nv3",0.631459123107449,-1.29744296109914,"Arabic",4,"in_range","Reading comprehension text .Put (x) in front of the correct statement (Why did S"
"a414y3_nv3",1.08412089552407,-0.0392852336259102,"Arabic",4,"in_range","Reading comprehension text .Put the events in the right order. (3-4-2-1)"
"a415y3_nv3",1.52445846565703,0.00925689700955896,"Arabic",4,"in_range","Reading comprehension text . (Why does the sea feel sad and angry ?)"
"a422y3_nv3",1.53934423451671,1.4649773483548,"Arabic",4,"in_range","Composing simple sentences based on untidy words: (The kids always practice spor"
"a515y3_nv3",1.52174631513564,0.350600664749252,"Arabic",4,"in_range","Reading comprehension: put the evens in the right order. (4-1-2-3)"
"a516y3_nv3",0.620024953919281,1.87326406491207,"Arabic",4,"in_range","Reading comprehension: What's the proof that Nouhaila and Badr's father is proud"
"a519y3_nv3",1.74290888244245,0.608808329571797,"Arabic",4,"in_range","Extract from the text 3 historical monuments"
"a526y3_nv3",0.985979653305994,2.02441819022972,"Arabic",4,"very_hard","What's the historical monument that's the most visited in Marrakesh ?"
"a2122",1.00112153273346,-0.686819295702175,"Arabic",5,"in_range","Put a mark (x) in front the correct answer: who built Badi palace?"
"a2123",1.52099233193275,-0.415038024063469,"Arabic",5,"in_range","From where did the Koutoubia Mosque get its name"
"a2130_nv",2.54959404903358,0.257082909512932,"Arabic",5,"in_range","Writing an argumentative text about usage of internet : Write 2 Benefits of inte"
"a2137",3.07832855589747,-2.10119522528949,"Arabic",5,"very_easy","Take the floor and speak freely about the end of the year party: mention the act"
"a2138",1.3801788596502,-1.78910809848977,"Arabic",5,"in_range","Take the floor and speak freely about the end of the year party: at leat one rea"
"a2139",1.30168487123219,-0.0126014366292014,"Arabic",5,"in_range","Take the floor and speak freely about the end of the year party: mention at leas"
"a2140",1.68798397486714,0.26868954480859,"Arabic",5,"in_range","Take the floor and speak freely about the end of the year party: Speaking with f"
"a2141",1.98053926805797,-0.464544782943519,"Arabic",5,"in_range","Take the floor and speak freely about the end of the year party: Do not commit m"
"a2142_nv",1.77085321107893,-1.43460246541182,"Arabic",5,"in_range","Take the floor and speak freely about convincing a friend to not leave school :"
"a2143_nv",1.18691866186175,-0.56035065187709,"Arabic",5,"in_range","Take the floor and speak freely about convincing a friend to not leave school :a"
"a2144_nv",1.51412182847486,-0.646882244170407,"Arabic",5,"in_range","Take the floor and speak freely about convincing a friend to not leave school :"
"a2145_nv",1.39452095424781,0.0901826687279262,"Arabic",5,"in_range","Take the floor and speak freely about convincing a friend to not leave school :F"
"a2146",2.1498458570481,-0.137008083626345,"Arabic",5,"in_range","Take the floor and speak freely about convincing a friend to not leave school :a"
"a2147_nv",1.96531497631935,-0.302968558630483,"Arabic",5,"in_range","Take the floor and speak freely about convincing a friend to not leave school :a"
"a2151_nv3",0.827370181646016,-0.46511982153356,"Arabic",5,"in_range","Put a mark (x) in front the correct answer:who tells the story of earth? Choices"
"a2152",1.72983351585262,-4.82123391918901e-05,"Arabic",5,"in_range","Fill in the table with information from the text. Session of the year mentioned"
"a2153",1.64482863553798,0.088802083046893,"Arabic",5,"in_range","Write down the tools the farmer uses in his field mentioned in the text"
"a2154",1.31787706690801,-0.61206103037303,"Arabic",5,"in_range","Why did the mother refuse that her sons leave school before the summer break ?"
"a2155",1.82240169228653,0.0887879903346266,"Arabic",5,"in_range","What do you think about the father's behavior? Justify your answer"
"a2159",0.94100015760142,0.710039282997556,"Arabic",5,"in_range","What are the arts the text talks about?"
"a2160",1.75516813580098,-0.0702673803246148,"Arabic",5,"in_range","Understanding informational texts: Why is theater called the father of the arts?"
"a2161",1.68834348817025,0.160555277993398,"Arabic",5,"in_range","Understanding informational texts: How does theater contribute to the education"
"a2162_nv",1.35071485076333,0.233153546231408,"Arabic",5,"in_range","Understanding informational texts: ite what each of the images attached to the t"
"a2163",2.36472586955691,0.63149156441229,"Arabic",5,"in_range","Understanding informational texts: Extract from the text what indicates that cin"
"a2164_nv",0.952196675225828,3.86492808550302,"Arabic",5,"very_hard","Understanding informational texts: Put an X in front of all the similarities. 6"
"a2165_nv2",0.74797227001272,0.647710739708142,"Arabic",5,"in_range","link each paragraph to the main idea"
"a2166",1.95448378026093,0.155973787002824,"Arabic",5,"in_range","Theater or cinema: do you prefer theater or cinema? Justify your answer"
"a2171",2.1766799177828,0.91511089622545,"Arabic",5,"in_range","Write a text about internet use: write at least 5 lines (50 words)"
"a519y3_nv3",1.94086399344206,0.290873040304634,"Arabic",5,"in_range","Extract from the text 3 historical monuments"
"a629y3_nv3",3.15151405112697,0.390696031934319,"Arabic",5,"in_range","Writing an argumentative text about usage of internet : Presenting at least 2 ar"
"a630y3_nv3",3.83250794279581,0.603614589777508,"Arabic",5,"in_range","Write a text about internet use: no more than 8 errors"
"a631y3_nv3",2.48011730645772,0.396613818684449,"Arabic",5,"in_range","Write a text about internet use: clear handwriting"
"a2130_nv",3.32426876045828,0.522877191195933,"Arabic",6,"in_range","Writing an argumentative text about usage of internet : Write 2 Benefits of inte"
"a2142_nv",1.77049233153045,-0.992531678734499,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend to not leave school :"
"a2143_nv",1.12155357863753,-0.106192060317843,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend to not leave school :a"
"a2144_nv",0.958384385358353,-0.384161892462046,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend to not leave school :"
"a2145_nv",1.5736334793315,0.303970019405111,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend to not leave school :F"
"a2146",1.91804142005242,0.0661418265525656,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend to not leave school :a"
"a2147_nv",1.34729790149817,-0.148552794954702,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend to not leave school :a"
"a2160",0.52636318770973,-3.83490964078428,"Arabic",6,"very_easy","Understanding informational texts: Why is theater called the father of the arts?"
"a2161",1.26549625357965,-0.921286021881804,"Arabic",6,"in_range","Understanding informational texts: How does theater contribute to the education"
"a2162_nv",0.791786859568443,-1.92363712288162,"Arabic",6,"in_range","Understanding informational texts: ite what each of the images attached to the t"
"a2164_nv",0.327618570110497,-0.222653739907923,"Arabic",6,"in_range","Understanding informational texts: Put an X in front of all the similarities. 6"
"a610y3_nv3",1.45584591704835,-0.0592246490964705,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend about dangers of elect"
"a611y3_nv3",1.2406618273225,-0.0519787285385797,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend about dangers of elect"
"a619y3_nv3",0.841335724537154,-0.283954692098716,"Arabic",6,"in_range","write the main idea of the last paragraph"
"a620y3_nv3",1.21856654672387,0.606672877124096,"Arabic",6,"in_range","Understanding literary texts: why does said insist on aswering"
"a621y3_nv3",1.19683640033406,0.543946981117854,"Arabic",6,"in_range","Understanding literary texts: extract from the text what indicate said loves dyn"
"a622y3_nv3",1.60522222387891,-0.376823665609233,"Arabic",6,"in_range","Understanding literary texts: how did said obtain the dynausor skeleton picture"
"a623y3_nv3",1.26516218516742,0.055812117779873,"Arabic",6,"in_range","Understanding literary texts: for the text what indicate that dynausors lived on"
"a624y3_nv3",1.97599045363331,-0.0172787499405803,"Arabic",6,"in_range","Understanding literary texts: from your pov what do you need to do to suceed in"
"a625y3_nv3",1.12445129186132,-1.74105338532346,"Arabic",6,"in_range","Understanding informational texts: where does Corona appeared the first time"
"a626y3_nv3",1.77062758714147,0.293081835353273,"Arabic",6,"in_range","Understanding informational texts: from the text what measure where put in place"
"a627y3_nv3",1.06646291854701,-0.279896937241458,"Arabic",6,"in_range","Understanding informational texts: what the writer mean by circle correct answer"
"a628y3_nv3",1.49162317590842,0.193808766085677,"Arabic",6,"in_range","Understanding informational texts: extract from the text what indicate that coro"
"a629y3_nv3",3.05532105711996,0.79900916420408,"Arabic",6,"in_range","Writing an argumentative text about usage of internet : Presenting at least 2 ar"
"a629y3_nv3_el",1.42643204285642,1.76557121478512,"Arabic",6,"in_range","Understanding informational texts: from the text how corona spread quickly"
"a630y3_nv3",4.41040498127911,0.841111587530829,"Arabic",6,"in_range","Write a text about internet use: no more than 8 errors"
"a630y3_nv3_el",2.34943729299953,0.751366850971753,"Arabic",6,"in_range","Understanding informational texts: from the text why the children are more affec"
"a631y3_nv3",4.04609152438441,0.578307292434557,"Arabic",6,"in_range","Write a text about internet use: clear handwriting"
"a631y3_nv3_el",2.77137850953824,0.541195056866288,"Arabic",6,"in_range","Understanding informational texts: whats the main idea of the first paragraph"
"a632y3_nv3_el",2.6388501855237,0.709230905436712,"Arabic",6,"in_range","Understanding informational texts: imagine a family member got corona use the te"
"a634y3_nv3",3.78291171507148,0.471335021723914,"Arabic",6,"in_range","Writing an argumentative text about usage of internet : Write 2 dangers of inter"
"a638y3_nv3",3.31559792485815,1.10086610539734,"Arabic",6,"in_range","Write a text about internet use: write at least 6 lines (60 words)"
"a67y3_nv3",1.23589413336238,-1.12615707298504,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend about dangers of elect"
"a68y3_nv3",1.18438765463969,-1.18686505447499,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend about dangers of elect"
"a69y3_nv3",1.33900097827218,0.0156955277046723,"Arabic",6,"in_range","Take the floor and speak freely about convincing a friend about dangers of elect"
"f21",1,1.38710206076416,"French",1,"in_range","TU AS QUEL AGE ? QUEL AGE AS-TU ?"
"f210",1,-1.43506315154398,"French",1,"in_range","JE VAIS DIRE UN MOT ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Une pomme"
"f211",1,-1.47056556893282,"French",1,"in_range","JE VAIS DIRE UN MOT ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: La fenêtre"
"f212",1,-1.3304459904529,"French",1,"in_range","JE VAIS DIRE UN MOT ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Un cahier"
"f213",1,-1.3304459904529,"French",1,"in_range","JE VAIS DIRE UN MOT ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Un Pantalon"
"f214",1,-0.0828976892545714,"French",1,"in_range","JE VAIS DIRE UN PHRASE ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE:  Amine mang"
"f215",1,0.0661048923546988,"French",1,"in_range","JE VAIS DIRE UN PHRASE ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Amine saute"
"f216",1,-0.411274163593541,"French",1,"in_range","JE VAIS DIRE UN PHRASE ET TU DOIS ME MONTRER L'IMAGE CORRESPONDANTE: Amine se la"
"f217",1,-0.501658270627046,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE: L"
"f218",1,-3.31862209833302,"French",1,"very_easy","LIS LES LETTRES SUIVANTES A VOIX HAUTE:A"
"f219",1,-0.0828976892545709,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE:R"
"f22",1,2.04233857129797,"French",1,"very_hard","TU ES EN QUELLE CLASSE ?"
"f220",1,1.17207526293687,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE: J"
"f221",1,-0.684474951455131,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE:E"
"f222",1,-0.871116801738299,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE: F"
"f223",1,-1.19486718785973,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE: D"
"f224",1,-1.0957040208549,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE: N"
"f225",1,-1.61614070500086,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE:B"
"f226",1,0.00645145980589291,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE: V"
"f227",1,-2.42811748299777,"French",1,"very_easy","LIS LES LETTRES SUIVANTES A VOIX HAUTE:O"
"f228",1,-0.80839085413974,"French",1,"in_range","LIS LES LETTRES SUIVANTES A VOIX HAUTE: C"
"f229",1,1.00125610181112,"French",1,"in_range","LIS LES MOTS SUIVANTS A VOIX HAUTE:bali"
"f23",1,3.41870962639563,"French",1,"very_hard","C'EST QUEL JOUR AUJOURD'HUI ?"
"f230",1,0.67647463000729,"French",1,"in_range","LIS LES MOTS SUIVANTS A VOIX HAUTE: banane"
"f231",1,0.125876603637276,"French",1,"in_range","LIS LES MOTS SUIVANTS A VOIX HAUTE:ami"
"f232_nv",1,1.46171557428761,"French",1,"in_range","LIS LES MOTS SUIVANTS A VOIX HAUTE:limonade"
"f233_nv",1,1.38710206076416,"French",1,"in_range","LIS LES MOTS SUIVANTS A VOIX HAUTE:dune"
