subject,grade,item,p_all,p_treated,p_control,observed_correct_all,observed_correct_treated,observed_correct_control,response_rate_all,response_rate_treated,response_rate_control,missing_rate_all,corrected_item_total,ctt_flag_treated,ctt_flag_all,irt_constant_excluded,item_label,irt_discrimination,irt_difficulty,irt_flag,treated_minus_control,review_bucket,observed_minus_scored_treated,recommendation,recommendation_reason,reason_rank,recommendation_priority,priority_order
Arabic,1,a122y3_nv3,0.972067039106145,1.0,0.94047619047619,0.972067039106145,1.0,0.94047619047619,1.0,1.0,1.0,0.0,0.369453173418426,very_easy,very_easy,False,Read the letters,1.0,-5.45890292137282,very_easy,0.05952380952380998,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,2,a214_nv,0.95,0.98,0.92,0.964467005076142,0.98,0.948453608247423,0.985,1.0,0.97,0.015,0.259882875008801,very_easy,very_easy,False,Read the letters,1.0,-3.67032533114045,very_easy,0.05999999999999994,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,2,a215,0.98,0.99,0.97,0.98,0.99,0.97,1.0,1.0,1.0,0.0,0.15251129890514,very_easy,very_easy,False,Read the letters,1.0,-4.6976000581069,very_easy,0.020000000000000018,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,2,a218,0.98,0.99,0.97,0.98989898989899,0.99,0.989795918367347,0.99,1.0,0.98,0.01,0.285757580895311,very_easy,very_easy,False,Read the letters,1.0,-4.6976000581069,very_easy,0.020000000000000018,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,2,a217,0.985,1.0,0.97,0.994949494949495,1.0,0.989795918367347,0.99,1.0,0.98,0.01,0.177719438468647,very_easy,very_easy,False,Read the letters,1.0,-5.00566124547638,very_easy,0.030000000000000027,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,3,a219_nv,0.945,0.97,0.92,0.945,0.97,0.92,1.0,1.0,1.0,0.0,0.293226907861462,very_easy,very_easy,False,Read the letters,1.89688709677013,-2.23517380836115,very_easy,0.04999999999999993,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,3,a214_nv,0.975,0.98,0.97,0.979899497487437,0.98,0.97979797979798,0.995,1.0,0.99,0.005,0.16783878517561,very_easy,very_easy,False,Read the letters,1.5352588760985,-3.09966646283413,very_easy,0.010000000000000009,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,3,a217,0.975,0.99,0.96,0.979899497487437,0.99,0.96969696969697,0.995,1.0,0.99,0.005,0.103708944419075,very_easy,very_easy,False,Read the letters,0.8842325274382,-4.57035006024324,very_easy,0.030000000000000027,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,3,a215,0.99,1.0,0.98,0.99,1.0,0.98,1.0,1.0,1.0,0.0,0.169417855445184,very_easy,very_easy,False,Read the letters,4.05487776338805,-2.6630001882598,very_easy,0.020000000000000018,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,3,a218,0.97,1.0,0.94,0.974874371859296,1.0,0.94949494949495,0.995,1.0,0.99,0.005,0.247774437305961,very_easy,very_easy,False,Read the letters,2.0346654498268,-2.58015424441323,very_easy,0.06000000000000005,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,5,a2137,0.958974358974359,0.968421052631579,0.95,0.979057591623037,0.989247311827957,0.969387755102041,0.97948717948718,0.978947368421053,0.98,0.0205128205128206,0.329859828236442,very_easy,very_easy,False,Take the floor and speak freely about the end of the year party: mention the act,3.07832855589747,-2.10119522528949,very_easy,0.018421052631579005,easy_high_coverage,0.020826259196378,replace,shared_ceiling_limited_incremental_value,4,1,1
French,6,f2118,0.958974358974359,0.978947368421053,0.94,0.958974358974359,0.978947368421053,0.94,1.0,1.0,1.0,0.0,0.245676048699096,very_easy,very_easy,False,RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: tomate,2.10998550964476,-2.26481631071468,very_easy,0.038947368421053064,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
French,6,f2119,0.948717948717949,0.989473684210526,0.91,0.948717948717949,0.989473684210526,0.91,1.0,1.0,1.0,0.0,0.239802871997491,very_easy,very_easy,False,RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: école,1.6628298448871,-2.38538578393592,very_easy,0.07947368421052592,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Maths,2,m222,0.925,0.95,0.9,0.943877551020408,0.95959595959596,0.927835051546392,0.98,0.99,0.97,0.02,0.264129344095594,very_easy,very_easy,False,Connect the digital clock and the analog clock with a line: (12:00),1.01041889837509,-2.90488394293847,very_easy,0.04999999999999993,easy_high_coverage,0.00959595959596,replace,shared_ceiling_limited_incremental_value,4,1,1
Maths,3,m222,0.939698492462312,0.93939393939394,0.94,0.939698492462312,0.93939393939394,0.94,1.0,1.0,1.0,0.0,0.177368076466467,very_easy,very_easy,False,Connect the digital clock and the analog clock with a line: (12:00),0.960720736743578,-3.25693262218244,very_easy,-0.0006060606060599438,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,4,a2134,0.215,0.26,0.17,0.41747572815534,0.481481481481482,0.346938775510204,0.515,0.54,0.49,0.485,0.450281896364907,in_range,in_range,False,Write a text about internet use: write at least 3 lines (30 words),1.59377643525924,1.16602198969307,in_range,0.09,,0.221481481481482,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,4,a2130_nv,0.275,0.33,0.22,0.474137931034483,0.568965517241379,0.379310344827586,0.58,0.58,0.58,0.42,0.542227228521868,in_range,in_range,False,Writing an argumentative text about usage of internet : Write 2 Benefits of inte,1.93421229114673,0.812992737290322,in_range,0.11000000000000001,,0.238965517241379,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,4,a2133,0.285,0.34,0.23,0.542857142857143,0.607142857142857,0.469387755102041,0.525,0.56,0.49,0.475,0.480936377538518,in_range,in_range,False,Write a text about internet use: clear handwriting with no more than 4 scribblin,1.50573732273252,0.865788087605459,in_range,0.11000000000000001,,0.2671428571428569,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,5,a629y3_nv3,0.374358974358974,0.442105263157895,0.31,0.669724770642202,0.688524590163935,0.645833333333333,0.558974358974359,0.642105263157895,0.48,0.441025641025641,0.609909334320774,in_range,in_range,False,Writing an argumentative text about usage of internet : Presenting at least 2 ar,3.15151405112697,0.390696031934319,in_range,0.132105263157895,,0.2464193270060399,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,5,a631y3_nv3,0.37948717948718,0.452631578947368,0.31,0.672727272727273,0.693548387096774,0.645833333333333,0.564102564102564,0.652631578947368,0.48,0.435897435897436,0.569690132026366,in_range,in_range,False,Write a text about internet use: clear handwriting,2.48011730645772,0.396613818684449,in_range,0.142631578947368,,0.240916808149406,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,5,a2130_nv,0.425641025641026,0.463157894736842,0.39,0.728070175438596,0.698412698412698,0.764705882352941,0.584615384615385,0.663157894736842,0.51,0.415384615384615,0.605482866958528,in_range,in_range,False,Writing an argumentative text about usage of internet : Write 2 Benefits of inte,2.54959404903358,0.257082909512932,in_range,0.07315789473684198,,0.235254803675856,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a638y3_nv3,0.158974358974359,0.189473684210526,0.13,0.348314606741573,0.4,0.295454545454545,0.456410256410256,0.473684210526316,0.44,0.543589743589744,0.491232244072097,in_range,in_range,False,Write a text about internet use: write at least 6 lines (60 words),3.31559792485815,1.10086610539734,in_range,0.059473684210525984,,0.210526315789474,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a630y3_nv3,0.215384615384615,0.252631578947368,0.18,0.494117647058824,0.558139534883721,0.428571428571429,0.435897435897436,0.452631578947368,0.42,0.564102564102564,0.572006442204972,in_range,in_range,False,Write a text about internet use: no more than 8 errors,4.41040498127911,0.841111587530829,in_range,0.07263157894736799,,0.305507955936353,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a630y3_nv3_el,0.276923076923077,0.273684210526316,0.28,0.47787610619469,0.5,0.459016393442623,0.57948717948718,0.547368421052632,0.61,0.42051282051282,0.578397016857554,in_range,in_range,False,Understanding informational texts: from the text why the children are more affec,2.34943729299953,0.751366850971753,in_range,-0.0063157894736840525,,0.226315789473684,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a629y3_nv3,0.246153846153846,0.28421052631579,0.21,0.607594936708861,0.710526315789474,0.51219512195122,0.405128205128205,0.4,0.41,0.594871794871795,0.549151550399471,in_range,in_range,False,Writing an argumentative text about usage of internet : Presenting at least 2 ar,3.05532105711996,0.79900916420408,in_range,0.07421052631579003,,0.426315789473684,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a632y3_nv3_el,0.282051282051282,0.31578947368421,0.25,0.572916666666667,0.652173913043478,0.5,0.492307692307692,0.48421052631579,0.5,0.507692307692308,0.580129669370657,in_range,in_range,False,Understanding informational texts: imagine a family member got corona use the te,2.6388501855237,0.709230905436712,in_range,0.06578947368421001,,0.336384439359268,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a2130_nv,0.333333333333333,0.326315789473684,0.34,0.722222222222222,0.688888888888889,0.755555555555556,0.461538461538462,0.473684210526316,0.45,0.538461538461538,0.595270249134081,in_range,in_range,False,Writing an argumentative text about usage of internet : Write 2 Benefits of inte,3.32426876045828,0.522877191195933,in_range,-0.01368421052631602,,0.362573099415205,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a631y3_nv3,0.307692307692308,0.357894736842105,0.26,0.681818181818182,0.755555555555556,0.604651162790698,0.451282051282051,0.473684210526316,0.43,0.548717948717949,0.605572690515332,in_range,in_range,False,Write a text about internet use: clear handwriting,4.04609152438441,0.578307292434557,in_range,0.09789473684210498,,0.397660818713451,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a634y3_nv3,0.348717948717949,0.357894736842105,0.34,0.764044943820225,0.772727272727273,0.755555555555556,0.456410256410256,0.463157894736842,0.45,0.543589743589744,0.602126140562405,in_range,in_range,False,Writing an argumentative text about usage of internet : Write 2 dangers of inter,3.78291171507148,0.471335021723914,in_range,0.017894736842104964,,0.414832535885168,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a631y3_nv3_el,0.333333333333333,0.378947368421053,0.29,0.601851851851852,0.705882352941176,0.508771929824561,0.553846153846154,0.536842105263158,0.57,0.446153846153846,0.620099223814351,in_range,in_range,False,Understanding informational texts: whats the main idea of the first paragraph,2.77137850953824,0.541195056866288,in_range,0.088947368421053,,0.326934984520123,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
Arabic,6,a628y3_nv3,0.456410256410256,0.48421052631579,0.43,0.741666666666667,0.73015873015873,0.754385964912281,0.615384615384615,0.663157894736842,0.57,0.384615384615385,0.499175579146815,in_range,in_range,False,Understanding informational texts: extract from the text what indicate that coro,1.49162317590842,0.193808766085677,in_range,0.054210526315789986,,0.24594820384294,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f23,0.0769230769230769,0.07,0.0842105263157895,0.394736842105263,0.4375,0.363636363636364,0.194871794871795,0.16,0.231578947368421,0.805128205128205,0.285143261764088,very_hard,very_hard,False,C'EST QUEL JOUR AUJOURD'HUI ?,1.0,3.41870962639563,very_hard,-0.014210526315789493,hard_low_coverage,0.3675,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f24,0.241025641025641,0.25,0.231578947368421,0.522222222222222,0.520833333333333,0.523809523809524,0.461538461538462,0.48,0.442105263157895,0.538461538461538,0.402263516172546,in_range,in_range,False,METS LE DOIGT SUR CHAQUE IMAGE ET DIS-MOI CE QUE C'EST EN FRANÇAIS :Chien,1.0,1.61620767444014,in_range,0.018421052631579005,,0.270833333333333,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f243,0.251282051282051,0.3,0.2,0.480392156862745,0.508474576271186,0.441860465116279,0.523076923076923,0.59,0.452631578947368,0.476923076923077,0.588482020263217,in_range,in_range,False,LIS LES MOTS SUIVANTS A VOIX HAUTE:zoro,1.0,1.53802987042641,in_range,0.09999999999999998,,0.2084745762711859,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f22,0.18974358974359,0.31,0.0631578947368421,0.660714285714286,0.775,0.375,0.287179487179487,0.4,0.168421052631579,0.712820512820513,0.431644564765323,in_range,in_range,False,TU ES EN QUELLE CLASSE ?,1.0,2.04233857129797,very_hard,0.24684210526315792,,0.465,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f232_nv,0.261538461538462,0.34,0.178947368421053,0.472222222222222,0.557377049180328,0.361702127659574,0.553846153846154,0.61,0.494736842105263,0.446153846153846,0.667230903172411,in_range,in_range,False,LIS LES MOTS SUIVANTS A VOIX HAUTE:limonade,1.0,1.46171557428761,in_range,0.16105263157894703,,0.217377049180328,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f29,0.348717948717949,0.37,0.326315789473684,0.68,0.711538461538461,0.645833333333333,0.512820512820513,0.52,0.505263157894737,0.487179487179487,0.403939056084184,in_range,in_range,False,METS LE DOIGT SUR CHAQUE IMAGE ET DIS-MOI CE QUE C'EST EN FRANÇAIS :Voiture/auto,1.0,0.86899765233727,in_range,0.04368421052631599,,0.341538461538461,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f239,0.302564102564103,0.41,0.189473684210526,0.551401869158878,0.650793650793651,0.409090909090909,0.548717948717949,0.63,0.463157894736842,0.451282051282051,0.710657199235577,in_range,in_range,False,LIS LES LMOTS SUIVANTS A VOIX HAUTE: vélo,1.0,1.17207526293687,in_range,0.220526315789474,,0.240793650793651,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f235_nv,0.292307692307692,0.42,0.157894736842105,0.495652173913043,0.636363636363636,0.306122448979592,0.58974358974359,0.66,0.515789473684211,0.41025641025641,0.649423257015939,in_range,in_range,False,LIS LES MOTS SUIVANTS A VOIX HAUTE:pire,1.0,1.24240750269598,in_range,0.26210526315789495,,0.216363636363636,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f229,0.328205128205128,0.45,0.2,0.556521739130435,0.681818181818182,0.387755102040816,0.58974358974359,0.66,0.515789473684211,0.41025641025641,0.65077260261817,in_range,in_range,False,LIS LES MOTS SUIVANTS A VOIX HAUTE:bali,1.0,1.00125610181112,in_range,0.25,,0.2318181818181819,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f21,0.271794871794872,0.47,0.0631578947368421,0.726027397260274,0.796610169491525,0.428571428571429,0.374358974358974,0.59,0.147368421052632,0.625641025641026,0.51044224919693,in_range,in_range,False,TU AS QUEL AGE ? QUEL AGE AS-TU ?,1.0,1.38710206076416,in_range,0.4068421052631579,,0.326610169491525,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f230,0.37948717948718,0.5,0.252631578947368,0.621848739495798,0.746268656716418,0.461538461538462,0.61025641025641,0.67,0.547368421052632,0.38974358974359,0.683758865244432,in_range,in_range,False,LIS LES MOTS SUIVANTS A VOIX HAUTE: banane,1.0,0.67647463000729,in_range,0.24736842105263201,,0.2462686567164179,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f234,0.415384615384615,0.52,0.305263157894737,0.648,0.732394366197183,0.537037037037037,0.641025641025641,0.71,0.568421052631579,0.358974358974359,0.732076179840362,in_range,in_range,False,LIS LES MOTS SUIVANTS A VOIX HAUTE:tomate,1.0,0.458667885743508,in_range,0.214736842105263,,0.212394366197183,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f236,0.415384615384615,0.52,0.305263157894737,0.686440677966102,0.742857142857143,0.604166666666667,0.605128205128205,0.7,0.505263157894737,0.394871794871795,0.681481263883438,in_range,in_range,False,LIS LES MOTS SUIVANTS A VOIX HAUTE: lama,1.0,0.458667885743509,in_range,0.214736842105263,,0.2228571428571429,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f25,0.456410256410256,0.54,0.368421052631579,0.723577235772358,0.794117647058824,0.636363636363636,0.630769230769231,0.68,0.578947368421053,0.369230769230769,0.465546282788998,in_range,in_range,False,METS LE DOIGT SUR CHAQUE IMAGE ET DIS-MOI CE QUE C'EST EN FRANÇAIS :Cheval,1.0,0.215848383342355,in_range,0.17157894736842105,,0.254117647058824,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f226,0.492307692307692,0.55,0.431578947368421,0.690647482014388,0.753424657534247,0.621212121212121,0.712820512820513,0.73,0.694736842105263,0.287179487179487,0.606915835674343,in_range,in_range,False,LIS LES LETTRES SUIVANTES A VOIX HAUTE: V,1.0,0.0064514598058929,in_range,0.11842105263157904,,0.203424657534247,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f28,0.441025641025641,0.56,0.31578947368421,0.774774774774775,0.861538461538462,0.652173913043478,0.569230769230769,0.65,0.48421052631579,0.430769230769231,0.489075050915194,in_range,in_range,False,METS LE DOIGT SUR CHAQUE IMAGE ET DIS-MOI CE QUE C'EST EN FRANÇAIS : Maison,1.0,0.306327288611822,in_range,0.24421052631579004,,0.301538461538462,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,1,f27,0.41025641025641,0.6,0.210526315789474,0.714285714285714,0.821917808219178,0.512820512820513,0.574358974358974,0.73,0.410526315789474,0.425641025641026,0.539455987628402,in_range,in_range,False,METS LE DOIGT SUR CHAQUE IMAGE ET DIS-MOI CE QUE C'EST EN FRANÇAIS : Lit,1.0,0.489420969545393,in_range,0.38947368421052597,,0.221917808219178,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,2,f23,0.170854271356784,0.11,0.232323232323232,0.53968253968254,0.392857142857143,0.657142857142857,0.316582914572864,0.28,0.353535353535354,0.683417085427136,0.251805872864159,in_range,in_range,False,C'EST QUEL JOUR AUJOURD'HUI ?,0.753446103678888,2.32379129545467,very_hard,-0.12232323232323199,hard_low_coverage,0.282857142857143,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,2,f21,0.0954773869346734,0.16,0.0303030303030303,0.487179487179487,0.592592592592593,0.25,0.195979899497487,0.27,0.121212121212121,0.804020100502513,0.330914802708365,in_range,very_hard,False,TU AS QUEL AGE ? QUEL AGE AS-TU ?,1.28926883152574,2.18161925543308,very_hard,0.1296969696969697,,0.432592592592593,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,2,f295,0.175879396984925,0.17,0.181818181818182,0.4375,0.414634146341463,0.461538461538462,0.402010050251256,0.41,0.393939393939394,0.597989949748744,0.489073262876597,in_range,in_range,False,ECRIS LE MOT CORRESPONDANT A L'IMAGE:cheval,1.81425259953127,1.28068868838759,in_range,-0.011818181818181978,,0.244634146341463,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,2,f260,0.190954773869347,0.23,0.151515151515152,0.633333333333333,0.560975609756098,0.789473684210526,0.301507537688442,0.41,0.191919191919192,0.698492462311558,0.287077866153912,in_range,in_range,False,C'EST AMINE SUR L'IMAGE. JE VAIS TE POSER DES QUESTIONS. REPONDS-MOI AVEC UNE PH,0.766140139164267,2.10077605251044,very_hard,0.07848484848484802,,0.3309756097560979,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,2,f22_nv,0.14572864321608,0.24,0.0505050505050505,0.408450704225352,0.452830188679245,0.277777777777778,0.35678391959799,0.53,0.181818181818182,0.64321608040201,0.295199106926973,in_range,in_range,False,QU'EST-CE QUE TU FAIS EN CLASSE?,0.805216350610183,2.45587172336326,very_hard,0.1894949494949495,,0.212830188679245,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,2,f259,0.311557788944724,0.42,0.202020202020202,0.775,0.777777777777778,0.769230769230769,0.402010050251256,0.54,0.262626262626263,0.597989949748744,0.484545992208227,in_range,in_range,False,C'EST AMINE SUR L'IMAGE. JE VAIS TE POSER DES QUESTIONS. REPONDS-MOI AVEC UNE PH,1.26790623305693,0.823525470175012,in_range,0.217979797979798,,0.357777777777778,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
French,2,f261,0.301507537688442,0.53,0.0707070707070707,0.8,0.841269841269841,0.583333333333333,0.376884422110553,0.63,0.121212121212121,0.623115577889447,0.526870496097128,in_range,in_range,False,C'EST Lina SUR L'IMAGE. JE VAIS TE POSER DES QUESTIONS. REPONDS-MOI AVEC UNE PHR,1.42300817920934,0.815856337229338,in_range,0.4592929292929293,,0.3112698412698409,keep_but_fix_administration,low_coverage_missing_drives_difficulty,5,2,2
