priority,subject,boundary,action,item,source_grade,carry_direction,p_treated,p_control,response_rate,citc,question_text,rationale
strengthen,Arabic,g5-g6,retain_existing_anchor,a2161,5,"Already shared",0.505263,0.420000,0.820513,0.548966,"Understanding informational texts: How does theater contribute to the education and awarness of children?","Current shared anchor that survives the edge; keep it, though the edge remains too thin overall."
strengthen,Arabic,g5-g6,add_new_anchor,a2159,5,"Grade 5 -> Grade 6",0.421053,0.310000,0.907692,0.378903,"What are the arts the text talks about?","Moderately difficult comprehension item with good completion; adds needed range at this fragile boundary."
strengthen,Arabic,g5-g6,add_new_anchor,a2152,5,"Grade 5 -> Grade 6",0.568421,0.450000,0.912821,0.559815,"Fill in the table with information from the text. Session of the year mentioned and the proper activities for each","Well-functioning text-based comprehension item that should travel better than the more unstable current shared oral/writing anchors."
strengthen,Arabic,g5-g6,add_new_anchor,a2153,5,"Grade 5 -> Grade 6",0.557895,0.410000,0.933333,0.555336,"Write down the tools the farmer uses in his field mentioned in the text","Another structured comprehension item with solid discrimination and completion."
strengthen,Arabic,g5-g6,add_new_anchor,a2155,5,"Grade 5 -> Grade 6",0.536842,0.430000,0.866667,0.579824,"What do you think about the father's behavior? Justify your answer","Useful mid-difficulty comprehension/justification anchor if the scoring rubric is tightly specified in both grades."
critical,Maths,g1-g2,retain_existing_anchor,m210,1,"Already shared",0.736842,0.752941,0.972222,0.407334,"Write the numbers in digits: sixty-five","The only current Maths Grades 1-2 anchor that works; keep it."
critical,Maths,g1-g2,add_new_anchor,m216_nv3,1,"Grade 1 -> Grade 2",0.252632,0.129412,0.816667,0.370398,"47 - 3 =","Harder arithmetic item from Grade 1 that should still have room in Grade 2, unlike the current shared items that become too easy."
critical,Maths,g1-g2,add_new_anchor,m218_nv,1,"Grade 1 -> Grade 2",0.494737,0.364706,0.916667,0.352843,"Choose the appropriate operation to solve the problem: There are 12 buses at the station. 7 buses left. How many buses are still at the station?","Reasoning item with moderate difficulty and high completion; broadens the anchor set beyond rote computation."
critical,Maths,g1-g2,add_new_anchor,m219_nv3,1,"Grade 1 -> Grade 2",0.494737,0.305882,0.894444,0.421269,"Khalid has 18 apples. Each basket holds 6 apples. How many baskets did Khalid fill?","One of the strongest Grade 1 reasoning items for this edge; good discrimination and less risk of immediate ceiling."
critical,Maths,g1-g2,add_new_anchor,m213_nv,1,"Grade 1 -> Grade 2",0.673684,0.564706,0.944444,0.571045,"Arrange the following numbers from largest to smallest: 62; 8; 34","High-completion ordering item with strong discrimination; likely to be more stable than the current very easy shared numeracy items."
critical,Maths,g5-g6,retain_existing_anchor,m2139_nv,5,"Already shared",0.488889,0.230000,0.757895,0.684177,"735/7 =","The only current Maths Grades 5-6 anchor that clearly works; keep it."
critical,Maths,g5-g6,add_new_anchor,m2125_nv3,5,"Grade 5 -> Grade 6",0.422222,0.250000,0.926316,0.625144,"Complete the rationale table for the following: 4/24 = 7/X","Strong mid-difficulty quantitative reasoning item that should expand the edge without overshooting."
critical,Maths,g5-g6,add_new_anchor,m2126_nv3,5,"Grade 5 -> Grade 6",0.522222,0.290000,0.952632,0.657074,"Complete the rationale table for the following: 4/24 = 1/X","Very good discrimination and completion; one of the cleanest candidates for a new Grade 5-6 anchor."
critical,Maths,g5-g6,add_new_anchor,m2133_nv3,5,"Grade 5 -> Grade 6",0.655556,0.380000,0.921053,0.480770,"The following garden is in the shape of a rectangle. What is the area of the garden in square metres?","A geometry/measurement anchor with acceptable difficulty and strong completion; helps diversify the edge."
critical,Maths,g5-g6,add_new_anchor,m2135,5,"Grade 5 -> Grade 6",0.355556,0.130000,0.900000,0.397262,"Measure the angle using a protractor. Write down your answer.","Appropriately challenging geometry item that should give the Grade 5-6 link more range than the current one-anchor setup."
